sexo,rango_edad,zona_residencia,vereda_barrio,actividad_economica,maximo_grado_escolaridad,problema_tocaima,color_favorito,color_relacion,descripcion,fortaleza,debilidad,recomendaciones,precandidatos,vota,
Mujer,36-45,Rural,Soleto,Hogar,Primaria,Tecnificaci—n del campo ,negro,,L’der,,No conocemos los otros candidatos,Que siga interactuando con los campesinos,No,Stephany Murillo,
Mujer,46-55,Urbano,Centro,Comerciante,Secundaria,Falta de empleo,azul,,Estefany,Se expres— muy bien,Es una mujer con muchos valores,Que tengan muchos cambios para el pueblo,,Stephany Murillo,
Mujer,56-65,Urbano,Centro,Hogar,Primaria,,blanco,Un color transparente,Stefany,Tener car‡cter,Que es una mujer con muchos proyectos,Que con el apoyo de cada uno de nosotros sea mejor,,Stephany Murillo,
Hombre,36-45,Urbano,San Jacinto,Empleado,Universitario,Falta de empleo,verde,Lealtad,Esperanza,Valor,Experiencia,Darse a conocer m‡s,No,Stephany Murillo,
Hombre,,Urbano,San Jacinto,,Primaria,"Falta de empleo, Calidad de la educaci—n",blanco,,,,,Que sea buena alcaldesa,,Stephany Murillo,
Mujer,26-35,Urbano,El Carmelo,"Empleado, Comerciante",TŽcnico,Falta de empleo,verde,Fortaleza,Sinceridad,Mujer emprendedora,,Mejorar la calidad de vida,"Juli‡n Mora, Robinson Mora, Hern‡n Herrera",Stephany Murillo,
Mujer,26-35,Urbano,Danubio,Empleado,TŽcnico,Todas,blanco,Paz,Humildad,Su seguridad,Ninguna,"Creo que es una mujer completa en todo el sentido de la palabra, con ganas de luchas por el municipio","Si, no tengo conocimiento aœn de sus propuestas de trabajo",Stephany Murillo,
Hombre,46-55,Urbano,San Jacinto,Desempleado,TŽcnico,REVISAR*,amarillo,,Lealtad,,Casi no la conocen,,,"Stephany Murillo, Hern‡n Herrera",
Hombre,46-55,Rural,Santa Rosa,Productor Agr’cola,Universitario,Tecnificaci—n del campo ,azul,Horizonte,Admiraci—n,Juventud,,Campa–a con miras a combatir a los mismos,Conozco 3 pero ninguno me convence,Stephany Murillo,
Hombre,65+,Rural,,,Primaria,Falta de empleo,,,,,,,,Stephany Murillo,
Mujer,56-65,Urbano,San Isidro,Hogar,Primaria,Inseguridad,azul,Con el color del cielo,,,,,,Stephany Murillo,
Mujer,65+,,,,Primaria,Falta de empleo,,,,,,,,,
Mujer,65+,Urbano,Carmelo,Hogar,Primaria,"Inseguridad, Falta de empleo",azul,El mar,Inteligencia,Berraca,Ayudar a las personas,Que siga as’,M‡s o menos,Stephany Murillo,
,46-55,Urbano,Carmelo,Independiente,Primaria,"Inseguridad, Falta de empleo",,,,,,,,,
Mujer,65+,Rural,,,Primaria,Falta de empleo,negro,Tranquilidad,Sencillez,,Ninguna,Ninguna,Robinson Mora: Sencillo,Stephany Murillo,
Mujer,36-45,Urbano,REVISAR *,Empleado,TŽcnico,,negro,Igualdad,Empoderamiento,Amor por su pueblo,No la conocen,"Trabajar, casa a casa","Juli‡n Mora, Robinson Mora",Stephany Murillo,
