sexo,rango_edad,zona_residencia,vereda_barrio,actividad_economica,maximo_grado_escolaridad,problema_tocaima,color_favorito,color_relacion,descripcion,fortaleza,debilidad,recomendaciones,precandidatos,vota
Mujer,46-55,Urbano,Centro,Comerciante,Secundaria,Falta de empleo,azul,,Estefany,Se expreso muy bien,Es una mujer con muchos valores,Que tengan muchos cambios para el pueblo,,Stephany Murillo
Mujer,56-65,Urbano,Centro,Hogar,Primaria,,blanco,Un color transparente,Stefany,Tener caracter,Que es una mujer con muchos proyectos,Que con el apoyo de cada uno de nosotros sea mejor,,Stephany Murillo
Hombre,36-45,Urbano,San Jacinto,Empleado,Universitario,Falta de empleo,verde,Lealtad,Esperanza,Valor,Experiencia,Darse a conocer mas,No,Stephany Murillo
Hombre,,Urbano,San Jacinto,,Primaria,"Falta de empleo, Calidad de la educacion",blanco,,,,,Que sea buena alcaldesa,,Stephany Murillo
Mujer,26-35,Urbano,El Carmelo,"Empleado, Comerciante",Tecnico,Falta de empleo,verde,Fortaleza,Sinceridad,Mujer emprendedora,,Mejorar la calidad de vida,"Julian Mora, Robinson Mora, Hernan Herrera",Stephany Murillo
Mujer,26-35,Urbano,Danubio,Empleado,Tecnico,Todas,blanco,Paz,Humildad,Su seguridad,Ninguna,"Creo que es una mujer completa en todo el sentido de la palabra, con ganas de luchas por el municipio","Si, no tengo conocimiento aun de sus propuestas de trabajo",Stephany Murillo
Hombre,46-55,Urbano,San Jacinto,Desempleado,Tecnico,REVISAR*,amarillo,,Lealtad,,Casi no la conocen,,,"Stephany Murillo, Hernan Herrera"
Hombre,46-55,Rural,Santa Rosa,Productor Agricola,Universitario,Tecnificacion del campo ,azul,Horizonte,Admiracion,Juventud,,Campa–a con miras a combatir a los mismos,Conozco 3 pero ninguno me convence,Stephany Murillo
Hombre,65+,Rural,,,Primaria,Falta de empleo,,,,,,,,Stephany Murillo
Mujer,56-65,Urbano,San Isidro,Hogar,Primaria,Inseguridad,azul,Con el color del cielo,,,,,,Stephany Murillo
Mujer,65+,,,,Primaria,Falta de empleo,,,,,,,,
Mujer,65+,Urbano,Carmelo,Hogar,Primaria,"Inseguridad, Falta de empleo",azul,El mar,Inteligencia,Berraca,Ayudar a las personas,Que siga asi,Mas o menos,Stephany Murillo
,46-55,Urbano,Carmelo,Independiente,Primaria,"Inseguridad, Falta de empleo",,,,,,,,
Mujer,65+,Rural,,,Primaria,Falta de empleo,negro,Tranquilidad,Sencillez,,Ninguna,Ninguna,Robinson Mora: Sencillo,Stephany Murillo
Mujer,36-45,Urbano,REVISAR *,Empleado,Tecnico,,negro,Igualdad,Empoderamiento,Amor por su pueblo,No la conocen,"Trabajar, casa a casa","Julian Mora, Robinson Mora",Stephany Murillo
